hiveid,recordday,temp,humidity,co2,weight,incount,outcount,pm10,pm25,extemphigh,extemplow
1,01,8.49,71.35,192,23750,0,0,49,30,9.2,-1.7
1,02,5.2,69.38,188,23250,0,0,44,20,4,-4.2
1,03,4.07,68.92,189,23200,0,0,36,22,3.7,-3.1
1,04,3.75,68.66,190,22550,0,0,45,34,6.2,-5.7
1,05,4.79,69.33,194,23100,0,0,61,51,8.3,-4.7
1,06,5.72,69.87,195,23650,0,0,74,53,11.3,-3.7
1,07,7.25,70.96,199,23250,0,0,81,67,12.2,-1.2
1,08,6.69,70.9,198,23650,0,0,80,67,8.3,-1.1
1,09,6.59,71.14,194,24950,0,0,58,46,13,-2.7
1,10,9.71,73.26,189,23500,0,0,27,26,8.6,1.6
1,11,7.52,72.52,197,23750,0,0,53,47,8.3,-1
1,12,6.06,72.05,200,23700,0,0,60,56,7.6,-1.1
1,13,9.51,74.22,196,25300,0,0,62,52,12.5,3.2
1,14,9,74.1,187,26500,0,0,46,36,7,-0.6
1,15,6.24,72.53,189,26200,0,0,45,35,8.5,-2
1,16,8.13,73.83,194,25750,0,0,45,38,6.3,-0.5
1,17,6.32,72.83,192,25300,0,0,51,38,7.4,-1.1
1,18,9.73,74.78,204,25500,0,0,60,47,10,5.3
1,19,10.13,75.18,186,25750,0,0,44,36,6.3,-0.7
1,20,5.52,72.43,185,26150,0,0,34,17,6.4,-3.2
1,21,3.97,71.5,193,27250,0,0,33,21,5,-5.1
1,22,5.19,72.02,199,25750,0,0,43,31,9.7,-4.4
1,23,19.94,70.9,1665,24400,1681,2383,34,26,10.7,-1.6
1,24,31.28,60.84,2621,24400,2395,351,55,41,10.9,-0.2
1,25,28.95,47.41,1451,24200,360,0,35,20,6.5,-3.1
1,26,26.75,43.3,1336,23850,1022,2,38,27,9,-5
1,27,27.03,44.63,1110,24000,1411,7,50,38,14.2,-2.9
1,28,30.48,43.43,1351,23200,3156,8,41,32,14.9,-1.1
2,01,9.33,90.84,2362,19800,95,12,49,30,9.2,-1.7
2,02,6.23,89.92,2405,19600,13,3,44,20,4,-4.2
2,03,5.38,90.2,2625,19300,4,3,36,22,3.7,-3.1
2,04,5.07,90.48,2444,19000,6,1,45,34,6.2,-5.7
2,05,6.24,91.28,2358,19050,34,12,61,51,8.3,-4.7
2,06,7.07,92.14,2406,20050,38,7,74,53,11.3,-3.7
2,07,8.23,93.17,2289,19050,75,11,81,67,12.2,-1.2
2,08,7.6,95.53,2342,18750,27,7,80,67,8.3,-1.1
2,09,7.63,96.45,2577,19350,54,2,58,46,13,-2.7
2,10,10.52,96.02,2280,17350,37,4,27,26,8.6,1.6
2,11,8.38,95.58,2391,17900,26,1,53,47,8.3,-1
2,12,7.5,95.88,2661,18200,48,19,60,56,7.6,-1.1
2,13,11.34,96.89,2894,19350,276,61,62,52,12.5,3.2
2,14,10.7,97.28,2791,19400,131,7,46,36,7,-0.6
2,15,7.73,97,2880,19600,16,2,45,35,8.5,-2
2,16,9.51,97.27,2854,18850,72,33,45,38,6.3,-0.5
2,17,7.59,96.95,2869,19000,66,51,51,38,7.4,-1.1
2,18,11.02,97.37,2960,19150,136,17,60,47,10,5.3
2,19,10.79,96.88,2542,19500,79,15,44,36,6.3,-0.7
2,20,6.19,96.71,2698,19700,15,25,34,17,6.4,-3.2
2,21,4.6,96.55,2292,19050,27,13,33,21,5,-5.1
2,22,5.4,96.51,1535,19150,36,10,43,31,9.7,-4.4
2,23,19.33,86.55,2440,20300,277,15,34,26,10.7,-1.6
2,24,27.97,70.36,2843,22700,71,15,55,41,10.9,-0.2
2,25,22.36,71.85,2539,22450,6,0,35,20,6.5,-3.1
2,26,19.3,78.48,2591,21500,11,0,38,27,9,-5
2,27,21.57,76.68,2685,21350,480,9,50,38,14.2,-2.9
2,28,24.2,67.69,2474,20200,482,16,41,32,14.9,-1.1
3,01,8.31,76.83,444,15450,0,0,49,30,9.2,-1.7
3,02,4.67,75.98,406,15200,0,0,44,20,4,-4.2
