hiveid,recordday,temp,humidity,co2,weight,incount,outcount,pm10,pm25,extemphigh,extemplow
1,01,31.69,71.24,811.56,25150,11957,60455,9,3,33.1,25.8
1,02,34.24,76.75,587.09,24750,11662,48543,11,4,32.2,25.4
1,03,33.44,75.8,744.74,24450,5124,44034,14,5,32.2,25.6
1,04,31.88,72.2,607.3,24950,6619,43861,10,4,32.6,26.1
1,05,33.53,76.1,714.15,24700,5633,35075,16,5,32.4,26
1,06,34.62,78,591.89,25100,4693,26222,22,10,34.1,26.9
1,07,33.85,76.24,526.48,24350,3923,24243,19,10,34.7,26.3
1,08,33.02,76.16,947.33,25400,4774,24547,17,6,31,27.1
1,09,33.62,77.53,742.89,25450,3565,27425,13,3,31.7,27
1,10,32.76,75.66,1138.42,24100,2311,29232,13,6,30.2,25.2
1,11,32.66,76.87,2137.58,23450,3783,17533,11,4,26.7,23.4
1,12,33.01,77.3,1673.04,25050,4109,30180,15,7,31.4,24.6
1,13,30.79,72.26,1504.38,24250,2189,15456,18,10,30.4,24.4
1,14,31.94,74.18,1256.98,25450,2593,16132,20,9,33.3,26.1
1,15,33.67,77.3,805.59,25500,1479,13069,12,4,32.7,27
1,16,32.01,75.03,1754.3,22550,1647,10181,14,7,28.9,23.2
1,17,30.22,71.7,1556.36,24150,2361,13996,21,11,30.4,23.1
1,18,32.11,75.7,1461.64,24650,4297,7351,23,12,31,20.8
1,19,32.55,75.97,1453.42,24550,2628,10280,17,7,31.8,22
1,20,30.65,71.33,1336.62,24050,1637,11497,15,6,29.9,24.4
1,21,32.57,76.21,1472.09,24650,1909,10785,21,10,31.9,23.3
1,22,31.59,73.34,1016.73,24900,1282,12112,18,8,32.2,24
1,23,32.59,76.06,1549.8,23450,1557,9958,15,11,27.5,24.3
1,24,29.75,69.8,1918.6,24000,1817,13247,22,13,27.4,21.8
1,25,30.96,72.41,1529.06,25400,2698,19804,19,11,29.3,20.7
1,26,31.91,73.8,1650.16,25100,4761,21323,24,16,28.3,17.7
1,27,31.63,72.59,1481.3,25350,1624,14260,23,18,25.9,18.2
1,28,30.73,70.14,1478.14,25400,4814,13370,16,11,28.7,16.2
1,29,31.04,70.62,1755.02,24150,4702,14405,16,10,23.1,19.7
1,30,31.09,70.85,1955.61,23450,2825,16763,16,11,24.2,20.3
1,31,31.09,71.02,1773.51,23950,2223,13648,14,10,24.4,20.2
2,01,34.49,70.64,1555.87,15050,27681,22676,9,3,33.1,25.8
2,02,34.65,70.85,1329.39,17000,25374,20303,11,4,32.2,25.4
2,03,34.58,70.86,1237.68,14350,20031,16726,14,5,32.2,25.6
2,04,34.7,71.2,1239.16,14700,22331,19008,10,4,32.6,26.1
2,05,34.64,70.94,1189.7,14550,16134,14663,16,5,32.4,26
2,06,34.97,71.2,918.05,15000,14407,11302,22,10,34.1,26.9
2,07,35.15,71.42,855.52,14150,11589,9003,19,10,34.7,26.3
2,08,34.09,71.08,4253.35,15050,10940,10524,17,6,31,27.1
2,09,34.07,70.97,1075.33,15000,13100,12754,13,3,31.7,27
2,10,33.9,71.09,1262.41,14150,12621,11036,13,6,30.2,25.2
2,11,32.7,70,693.72,13850,8311,7595,11,4,26.7,23.4
2,12,33.19,70.37,1315.52,15100,12710,11107,15,7,31.4,24.6
2,13,33.16,70.29,1252.51,14350,9092,7972,18,10,30.4,24.4
2,14,33.86,70.63,1062.91,15000,8154,6285,20,9,33.3,26.1
2,15,34.07,70.84,774.91,14850,6159,5197,12,4,32.7,27
2,16,32.96,70.05,1113.68,16200,4781,4292,14,7,28.9,23.2
2,17,32.88,69.79,1026.68,17050,4764,4149,21,11,30.4,23.1
