hiveid,recordday,temp,humidity,co2,weight,incount,outcount,pm10,pm25,extemphigh,extemplow
1,01,30.9,63.67,858.07,26550,6014,3119,40,32,29.2,14.6
1,02,31.62,65.96,707.59,26950,2900,5311,30,24,30.5,18.7
1,03,32.56,69.39,779.49,24600,2209,2677,16,13,28.6,21.5
1,04,31.89,69.25,474.76,24150,2075,5453,16,10,26.4,15.8
1,05,29.08,63.49,898.17,24900,1646,4119,19,11,20.9,13.8
1,06,27.53,62.06,1117.72,24600,1170,3151,26,18,21.1,13
1,07,27.51,62.85,1208.76,24800,1097,3047,21,13,20.1,13.1
1,08,23.7,65.53,1079.25,25050,1374,1725,20,13,23.3,10.4
1,09,23.29,67.83,1353.49,23850,628,1504,12,9,15.5,12.2
1,10,20.7,68.03,1064.72,23950,1117,8003,14,7,14.9,8.6
1,11,20.65,69.1,1229.78,24650,1737,10491,17,11,18.4,9.2
1,12,20.83,69.57,969.67,24600,408,8929,26,17,21.2,6.8
1,13,22.28,69.83,746.1,24600,1666,9998,24,16,22.7,9.9
1,14,23,70.37,721.31,24800,756,4918,27,18,23.9,11.7
1,15,25.24,71.85,490.47,24500,1132,3332,39,30,25.1,12.7
1,16,24.09,73.2,278.59,24550,549,1350,47,38,23.1,14.2
1,17,21.99,73.26,301.39,25800,461,807,36,20,17.1,7.9
1,18,15.48,70.72,223.38,24550,530,645,21,12,15.2,4.7
1,19,14.87,71.08,127.53,23850,1185,1058,35,19,17.2,3.5
1,20,15.99,71.82,14.57,24100,3043,354,37,23,20.9,4.8
1,21,17.83,73.05,9.71,23600,2041,655,35,22,19.3,8.7
1,22,20.55,74.77,11.48,23850,1032,405,33,22,21.7,12.4
1,23,20.15,74.39,9,24150,1143,132,41,27,19.7,10.2
1,24,16.16,72.3,9,24700,1639,67,28,17,15.9,6.8
1,25,14.44,71.42,9,24150,1399,40,24,14,17.8,3.4
1,26,15.77,72.07,9,24550,1395,40,25,14,19.4,7.1
1,27,17.78,73,9,23900,1276,72,38,24,20.6,8.4
1,28,17.75,72.74,9,23500,1565,218,52,39,20.1,8
1,29,17.89,72.75,9,23800,1611,58,52,38,20.9,9.4
1,30,18.67,73.02,9,24250,1463,64,43,33,21.1,9.4
1,31,18.98,73.16,9,23800,1016,37,30,20,20.7,11.2
2,01,33.61,58.96,2340.13,15150,3694,2726,40,32,29.2,14.6
2,02,33.31,59.74,1990.21,15700,4763,4124,30,24,30.5,18.7
2,03,33.72,63.48,1421.78,14700,2232,1624,16,13,28.6,21.5
2,04,32.6,60.85,2014.85,14750,4358,3784,16,10,26.4,15.8
2,05,29.89,57.45,2332.17,14800,4161,3721,19,11,20.9,13.8
2,06,29.25,57.17,2186.32,14550,4270,4079,26,18,21.1,13
2,07,29.92,56.98,2231.24,15200,2160,1993,21,13,20.1,13.1
2,08,30.54,56.92,2195.83,14800,925,783,20,13,23.3,10.4
2,09,26.71,60.38,2415.35,14000,592,413,12,9,15.5,12.2
2,10,21.24,62.97,2312.89,14250,3324,3079,14,7,14.9,8.6
2,11,19.78,67.85,2134.69,14900,1968,1862,17,11,18.4,9.2
2,12,21.23,65.58,1499.51,16950,1500,1390,26,17,21.2,6.8
2,13,21.51,66.02,1202.07,14650,2716,2486,24,16,22.7,9.9
2,14,21.21,67.36,919.95,14750,1001,880,27,18,23.9,11.7
2,15,22.82,68.55,562.84,14700,81,42,39,30,25.1,12.7
2,16,23.13,68.52,501.91,14850,20,3,47,38,23.1,14.2
2,17,20.9,67.79,481.06,15850,16,1,36,20,17.1,7.9
2,18,14.75,64.91,285.91,15300,16,0,21,12,15.2,4.7
2,19,14.69,65.21,282.57,17050,10,8,35,19,17.2,3.5
2,20,16.29,65.29,295.19,17200,18,15,37,23,20.9,4.8
2,21,17.93,66.03,334.3,14650,1,1,35,22,19.3,8.7
2,22,20.95,67.31,391.77,14750,12,6,33,22,21.7,12.4
2,23,20.33,66.26,399.19,15250,45,5,41,27,19.7,10.2
2,24,16.11,63.87,304.23,18250,0,0,28,17,15.9,6.8
2,25,14.42,62.98,274.1,15050,0,0,24,14,17.8,3.4
2,26,16.12,63.98,303,17450,0,0,25,14,19.4,7.1
2,27,18.07,65.07,340,14600,1,0,38,24,20.6,8.4
2,28,17.87,64.64,341,14900,3,0,52,39,20.1,8
2,29,18.19,65.09,347,15100,21,0,52,38,20.9,9.4
2,30,18.91,65.32,348,15350,1,0,43,33,21.1,9.4
2,31,19.17,65.2,375,15050,37,1,30,20,20.7,11.2
3,01,26.07,63.22,2337.48,15450,1858,1607,40,32,29.2,14.6
3,02,28.18,65.06,2131.09,16050,2729,2333,30,24,30.5,18.7
3,03,29.56,67.78,2138.6,14150,1099,1012,16,13,28.6,21.5
3,04,27.27,66.81,2084.21,14200,1935,1781,16,10,26.4,15.8
3,05,22.05,67.75,2556.5,14850,784,694,19,11,20.9,13.8
3,06,22.05,67.75,2556.5,14850,933,850,26,18,21.1,13
3,07,22.22,66.8,2533.13,15500,886,839,21,13,20.1,13.1
3,08,20.84,64.77,2597.27,15250,85,57,20,13,23.3,10.4
3,09,21.12,65,2795.21,12250,103,89,12,9,15.5,12.2
3,10,18.45,65.4,2678.51,13700,1349,1301,14,7,14.9,8.6
3,11,18.05,66.25,2557.85,14500,1728,1612,17,11,18.4,9.2
3,12,17.8,65.6,2322.61,14850,1156,1045,26,17,21.2,6.8
3,13,19.59,66.34,2496.21,15300,2445,1862,24,16,22.7,9.9
3,14,21.4,67.08,2593.76,15550,1368,947,27,18,23.9,11.7
3,15,22.35,69.68,2018.86,15700,562,306,39,30,25.1,12.7
3,16,22.42,70.07,1453.76,15900,504,334,47,38,23.1,14.2
3,17,20.21,70.14,1267.85,17750,231,115,36,20,17.1,7.9
3,18,14.4,69.65,1447.31,17100,302,227,21,12,15.2,4.7
3,19,13.72,69.97,1444.89,16000,751,551,35,19,17.2,3.5
3,20,15.3,70.49,1364.09,15750,533,398,37,23,20.9,4.8
3,21,17.23,71.17,1296.89,15200,514,381,35,22,19.3,8.7
3,22,20.42,71.89,962.83,15250,308,131,33,22,21.7,12.4
3,23,19.34,72.1,569.96,15800,372,150,41,27,19.7,10.2
3,24,14.95,71.42,692.88,16600,1146,108,28,17,15.9,6.8
3,25,12.77,70.76,515.78,15500,600,172,24,14,17.8,3.4
3,26,15.64,72.01,734,15700,600,172,25,14,19.4,7.1
3,27,16.38,72.47,510,14900,1147,471,38,24,20.6,8.4
3,28,16.58,72.41,553,14750,1173,340,52,39,20.1,8
3,29,16.99,72.4,395,15500,2375,282,52,38,20.9,9.4
3,30,17.73,72.57,531,15450,695,229,43,33,21.1,9.4
3,31,18.31,72.93,464,15050,505,20,30,20,20.7,11.2
4,01,33.95,91.33,1108.93,20550,8360,53139,40,32,29.2,14.6
4,02,33.21,91.26,783.47,20700,7246,82525,30,24,30.5,18.7
4,03,32.99,92.72,673.36,20550,8276,64567,16,13,28.6,21.5
4,04,31.73,92.21,624.91,24300,9456,73817,16,10,26.4,15.8
4,05,31.87,90,1132.79,20300,7817,53417,19,11,20.9,13.8
4,06,32.91,90.09,1185.41,20500,6746,45310,26,18,21.1,13
4,07,32.42,87.05,1271.45,24250,3898,31996,21,13,20.1,13.1
4,08,29.25,87.93,1242.33,24250,5265,24139,20,13,23.3,10.4
4,09,26.81,89.62,1059.6,20550,3328,11114,12,9,15.5,12.2
4,10,24.54,90.09,1071.26,24400,2557,29886,14,7,14.9,8.6
4,11,22.95,91.7,1658.56,20750,3858,35916,17,11,18.4,9.2
4,12,20.85,92.45,1402.62,20700,4039,44696,26,17,21.2,6.8
4,13,21.53,93.48,1298.39,20750,4445,36324,24,16,22.7,9.9
4,14,27.79,90.89,1287.64,23900,4183,34062,27,18,23.9,11.7
4,15,29.65,88.48,1385.93,20200,5810,22335,39,30,25.1,12.7
4,16,24.92,93.23,1148.23,20300,4533,11852,47,38,23.1,14.2
4,17,22.45,93.22,776.19,23800,1938,3319,36,20,17.1,7.9
4,18,16.2,93.04,1416.18,23700,1718,3554,21,12,15.2,4.7
4,19,14.76,94.11,1447.63,19900,1577,10051,35,19,17.2,3.5
4,20,16,94.34,1025.65,20050,1793,17399,37,23,20.9,4.8
4,21,17.82,94.98,954.78,20000,3975,32507,35,22,19.3,8.7
4,22,21.5,94.96,1012.02,19900,3246,7079,33,22,21.7,12.4
4,23,21.61,94.16,1118.51,19850,1706,1431,41,27,19.7,10.2
4,24,16.86,93.5,1076.18,23700,2745,5953,28,17,15.9,6.8
4,25,14.52,93.47,1201.14,23450,2096,6455,24,14,17.8,3.4
4,26,16.16,94.4,1138,23350,2096,6455,25,14,19.4,7.1
4,27,17.6,94.4,814,23150,2392,9718,38,24,20.6,8.4
4,28,24.39,93.36,1068,21000,1456,15152,52,39,20.1,8
4,29,30.39,91.97,1663,20900,1866,17487,52,38,20.9,9.4
4,30,21.73,95.09,1212,24800,3024,13218,43,33,21.1,9.4
4,31,20.02,96.72,1033,20700,2836,8533,30,20,20.7,11.2
