hiveid,recordday,temp,humidity,co2,weight,incount,outcount,pm10,pm25,extemphigh,extemplow
1,01,5.11,67.41,193,23550,0,0,48,40,5.9,-3
1,02,3.78,66.54,189,23800,1,0,25,17,2,-4
1,03,2.63,65.79,190,24750,0,1,26,19,2.9,-7.2
1,04,3.56,66.4,191,23350,10,1,32,25,5.6,-5.4
1,05,5.03,67.39,197,23350,3,0,63,53,7.7,-2.6
1,06,6.56,68.28,196,23200,12,1,95,86,8.5,-1.4
1,07,8.8,69.79,186,24000,15,1,145,68,6.8,-1
1,08,6.53,68.22,187,24100,9,0,86,30,9.4,-2.3
1,09,8.62,69.87,194,23350,7,1,79,34,9.3,-0.3
1,10,5.81,67.84,194,23450,4,7,60,40,8.5,-4.2
1,11,6.46,68.51,196,23900,47,137,62,47,11.3,-2.2
1,12,9.36,70.02,187,24250,174,184,45,31,17,0.2
1,13,16.62,74.24,188,22250,244,53,9,8,15,8.3
1,14,13.67,73.07,187,22150,39,2,24,22,8.3,4.2
1,15,8.58,70.57,185,23200,21,1,23,15,4.8,-2.3
1,16,4.07,68.11,186,23800,1,0,22,14,1.1,-4.6
1,17,3.06,67.5,190,23650,0,1,28,20,3.1,-5.8
1,18,4.52,68.48,197,22350,1,0,49,31,5.3,-3
1,19,4.65,68.35,190,23200,2,1,57,32,7,-4.1
1,20,7.22,69.93,185,23700,1,0,71,24,5.8,-4.4
1,21,2.86,67,187,22800,1,0,32,22,3,-7
1,22,3.82,67.95,197,24100,2,0,31,21,6.6,-3.3
1,23,5.7,69.27,193,24100,4,0,49,34,8.5,-2.2
1,24,1.97,66.99,184,24500,0,1,24,14,-1.3,-12.5
1,25,-3.39,63.79,191,25350,1,0,19,12,-3.5,-15
1,26,0.4,66.26,198,23350,0,0,19,15,2.8,-8.7
1,27,2.53,67.71,197,24950,0,1,32,23,-0.6,-6.9
1,28,0.14,66.15,189,23400,1,1,27,19,-0.6,-9.4
1,29,2.42,67.75,191,24300,3,0,43,21,5.5,-6
1,30,4.97,69.12,193,24450,0,1,46,17,5.6,-4
1,31,5.95,69.66,190,23850,19,9,34,18,10.7,-2.8
2,01,5.79,83.71,2307,19700,1,1,48,40,5.9,-3
2,02,4.63,83.36,2523,20300,1,1,25,17,2,-4
2,03,3.67,83.43,2550,16850,4,0,26,19,2.9,-7.2
2,04,4.49,83.69,2486,16700,32,1,32,25,5.6,-5.4
2,05,5.84,84.22,2425,18900,11,1,63,53,7.7,-2.6
2,06,7.11,84.89,2457,18900,63,4,95,86,8.5,-1.4
2,07,9.13,85.95,2500,19900,57,1,145,68,6.8,-1
2,08,7.13,84.63,2454,19900,42,0,86,30,9.4,-2.3
2,09,8.84,85.48,2467,16500,39,4,79,34,9.3,-0.3
2,10,6.34,84.16,2416,19400,13,0,60,40,8.5,-4.2
2,11,7.17,84.5,2307,19850,12,848,62,47,11.3,-2.2
2,12,10.02,85.04,2449,16950,1547,3526,45,31,17,0.2
2,13,17.65,90.17,2351,17900,4701,68,9,8,15,8.3
2,14,14.12,89.46,2046,17850,220,6,24,22,8.3,4.2
2,15,8.82,88.38,1917,19600,125,0,23,15,4.8,-2.3
2,16,4.94,87.21,2331,17450,0,0,22,14,1.1,-4.6
2,17,4.21,87.47,2587,19600,1,0,28,20,3.1,-5.8
2,18,5.37,88.79,2438,17250,0,0,49,31,5.3,-3
2,19,5.41,88.58,2387,17800,13,0,57,32,7,-4.1
2,20,7.44,89.71,2380,19850,20,0,71,24,5.8,-4.4
2,21,3.75,88.04,2657,19550,3,0,32,22,3,-7
2,22,4.76,88.38,2683,18850,18,0,31,21,6.6,-3.3
2,23,6.62,88.65,2296,17550,39,3,49,34,8.5,-2.2
2,24,2.69,86.52,2521,20500,2,1,24,14,-1.3,-12.5
2,25,-1.07,85.99,1538,21000,0,0,19,12,-3.5,-15
2,26,1.99,86.08,2148,18000,2,2,19,15,2.8,-8.7
2,27,3.67,87.24,2468,17850,1,1,32,23,-0.6,-6.9
2,28,1.8,87.6,2375,18450,0,0,27,19,-0.6,-9.4
2,29,4.28,90.04,2760,19950,18,1,43,21,5.5,-6
2,30,6.28,90.4,2356,17100,1,0,46,17,5.6,-4
2,31,7.35,90.63,2628,16500,94,45,34,18,10.7,-2.8
3,01,4.28,76.58,402,15600,1,1,48,40,5.9,-3
3,02,2.9,76.41,378,16050,0,1,25,17,2,-4
3,03,1.77,76.3,379,15550,1,0,26,19,2.9,-7.2
3,04,3.19,76.5,386,15300,19,0,32,25,5.6,-5.4
3,05,5.04,76.78,405,15300,4,0,63,53,7.7,-2.6
3,06,5.83,77.1,411,15150,31,1,95,86,8.5,-1.4
3,07,8.45,77.64,399,16050,28,0,145,68,6.8,-1
3,08,5.75,77.11,383,16350,21,1,86,30,9.4,-2.3
3,09,8.12,77.77,405,15400,17,2,79,34,9.3,-0.3
3,10,4.55,76.92,400,15550,6,15,60,40,8.5,-4.2
3,11,6.08,77.36,420,16000,109,325,62,47,11.3,-2.2
3,12,8.85,77.62,425,16650,613,573,45,31,17,0.2
3,13,16.39,78.47,502,14000,498,97,9,8,15,8.3
3,14,12.83,78.2,449,13400,93,2,24,22,8.3,4.2
3,15,7.71,77.71,397,15650,38,1,23,15,4.8,-2.3
3,16,3.31,77.02,378,15950,0,0,22,14,1.1,-4.6
3,17,2.36,76.9,381,15900,1,1,28,20,3.1,-5.8
3,18,4.03,77.12,395,14700,0,0,49,31,5.3,-3
3,19,4.25,76.71,391,15850,2,0,57,32,7,-4.1
3,20,6.75,77.14,398,16350,0,1,71,24,5.8,-4.4
3,21,1.96,75.98,385,15750,0,0,32,22,3,-7
3,22,3.35,76.71,401,15150,3,0,31,21,6.6,-3.3
3,23,5.66,77.15,404,15050,9,1,49,34,8.5,-2.2
3,24,1.14,75.92,360,15450,0,0,24,14,-1.3,-12.5
3,25,-4.23,75.51,368,15850,0,1,19,12,-3.5,-15
3,26,0,76.31,405,12800,0,1,19,15,2.8,-8.7
3,27,2.09,76.41,416,15100,0,0,32,23,-0.6,-6.9
3,28,-0.51,75.73,404,12850,1,0,27,19,-0.6,-9.4
3,29,2.3,76.36,415,14800,2,1,43,21,5.5,-6
3,30,4.41,75.81,421,15350,1,1,46,17,5.6,-4
3,31,5.68,76.22,422,14950,41,17,34,18,10.7,-2.8
4,01,5.07,69.59,669,21800,6,2,48,40,5.9,-3
4,02,3.51,68.64,538,21850,1,0,25,17,2,-4
4,03,2.35,68.88,657,21750,3,1,26,19,2.9,-7.2
4,04,3.49,69.51,891,21800,24,0,32,25,5.6,-5.4
4,05,5.05,69.89,735,21850,7,1,63,53,7.7,-2.6
4,06,5.56,70.97,759,21950,43,2,95,86,8.5,-1.4
4,07,7.95,70.83,723,21800,37,0,145,68,6.8,-1
4,08,5.51,69.76,837,22050,34,1,86,30,9.4,-2.3
4,09,7.59,70.58,946,21850,29,3,79,34,9.3,-0.3
4,10,4.6,68.93,844,22050,10,134,60,40,8.5,-4.2
4,11,5.6,70.31,948,21850,285,629,62,47,11.3,-2.2
4,12,8.05,70.48,832,22400,823,1284,45,31,17,0.2
4,13,15.54,71.74,835,21500,1209,109,9,8,15,8.3
4,14,12.94,71.38,734,21500,317,3,24,22,8.3,4.2
4,15,7.97,70.89,724,21700,78,0,23,15,4.8,-2.3
4,16,3.26,69.61,727,21750,1,0,22,14,1.1,-4.6
4,17,1.95,69.34,834,21650,0,0,28,20,3.1,-5.8
4,18,3.54,69.79,949,21650,1,0,49,31,5.3,-3
4,19,3.65,69.7,850,21950,5,0,57,32,7,-4.1
4,20,6.14,69.46,825,21900,4,0,71,24,5.8,-4.4
4,21,1.6,67.37,929,21900,1,0,32,22,3,-7
4,22,2.78,68.63,861,21750,11,0,31,21,6.6,-3.3
4,23,5.08,69.5,958,21800,27,2,49,34,8.5,-2.2
4,24,1.25,66.36,824,21950,0,0,24,14,-1.3,-12.5
4,25,-4.55,64.46,744,22250,1,1,19,12,-3.5,-15
4,26,-0.89,66.67,866,21400,0,0,19,15,2.8,-8.7
4,27,1.5,67.4,960,22150,0,2,32,23,-0.6,-6.9
4,28,-0.88,66.9,847,21300,2,1,27,19,-0.6,-9.4
4,29,1.52,68.17,956,21800,12,0,43,21,5.5,-6
4,30,3.97,67.8,865,21750,0,1,46,17,5.6,-4
4,31,4.95,68.26,954,21500,73,28,34,18,10.7,-2.8
