hiveid,recordday,temp,humidity,co2,weight,incount,outcount,pm10,pm25,extemphigh,extemplow
1,01,23.9,76.6,1075,11600,549,6340,26,10,23.6,14.2
1,02,22.2,73.7,1212,11600,443,6440,20,9,24.8,12.4
1,03,22.2,75,1628,11600,290,3360,22,11,21.5,13.9
1,04,22.9,73.9,1302,11550,353,7630,22,11,23.8,12.8
1,05,22.6,72.1,1268,11600,397,4960,31,9,20.1,12.9
1,06,20.6,71.4,1341,11600,220,3740,28,10,21,11.6
1,07,20.3,72.7,1524,11550,226,5040,35,16,21.8,12.2
1,08,22.2,73.5,1458,11550,249,5340,22,11,22.1,14.9
1,09,22.5,73.8,1187,11550,76,4470,21,9,22.8,14.4
1,10,22.3,72.7,1049,11600,13,4070,28,15,21.8,14
1,11,22.2,70.6,866,11600,32,4170,29,14,24.1,12.9
1,12,22.1,68.3,814,11600,77,3790,31,13,25.7,11.9
1,13,22.2,68.9,963,11600,68,3600,35,16,22.8,13.9
1,14,20.8,70,1251,11600,45,3400,30,16,21.8,12.5
1,15,19.6,70.6,1205,11600,188,4120,30,16,21.9,11.4
1,16,19.8,71.8,927,11650,18,2010,37,14,20.5,10.8
1,17,16.7,69,848,11550,63,1490,31,10,20.9,7.8
1,18,18.3,70.2,901,11550,66,1380,34,14,24.1,9
1,19,20,71.5,730,11600,223,1050,28,14,22.9,12.9
1,20,19.3,71.7,643,11700,285,630,18,5,16.9,9.4
1,21,15.1,69.3,595,11700,32,310,21,7,17.7,5.8
1,22,14.3,70.8,567,11650,12,300,25,9,18.3,6.3
1,23,17.4,71.5,430,11650,10,1540,28,12,21.2,10.2
1,24,18.7,71,411,11650,89,750,33,17,21.9,10.4
1,25,18.6,71,380,11650,80,250,41,22,22.8,11.7
1,26,19.9,71.1,389,11600,17,60,53,34,22.6,12.8
1,27,20.2,69.2,360,11600,33,40,49,20,19.6,11.9
1,28,17.6,64.6,331,11650,27,20,39,19,20.8,9.3
1,29,18.5,65,336,11650,10,30,41,24,22,10.3
1,30,17.8,63.7,335,11650,46,40,49,29,21.6,11.2
1,31,17.9,63,408,11650,80,60,50,29,22.9,9.2
2,01,30.4,60.2,2357,20800,2180,2100,26,10,23.6,14.2
2,02,29.4,57.3,2437,20200,7480,7390,20,9,24.8,12.4
2,03,29.3,57.5,2779,19000,3000,2920,22,11,21.5,13.9
2,04,30.1,57.1,1993,17600,7330,7210,22,11,23.8,12.8
2,05,28.7,57.6,1130,17950,6740,6690,31,9,20.1,12.9
2,06,27.1,57.1,1314,17550,5650,5600,28,10,21,11.6
2,07,27.6,57.3,1336,16850,4580,4560,35,16,21.8,12.2
2,08,30.4,63.7,2809,15600,6540,6480,22,11,22.1,14.9
2,09,33.1,68.7,2731,15000,6280,6240,21,9,22.8,14.4
2,10,32.2,65.1,1823,14950,5310,5270,28,15,21.8,14
2,11,31.6,63.4,1052,15400,6260,6160,29,14,24.1,12.9
2,12,30.9,63,1495,15450,5470,5460,31,13,25.7,11.9
2,13,30.6,63.2,1903,15550,6380,6320,35,16,22.8,13.9
2,14,30.3,67.3,2509,14050,7120,7100,30,16,21.8,12.5
2,15,28.9,64.4,2443,14600,6650,6620,30,16,21.9,11.4
2,16,27.3,64,1906,15400,5610,5540,37,14,20.5,10.8
2,17,27,66,1775,17150,8100,8020,31,10,20.9,7.8
2,18,25.8,68.4,1541,17000,8480,8420,34,14,24.1,9
2,19,25.3,69.7,1031,16300,2900,2860,28,14,22.9,12.9
2,20,24,68.9,960,16300,3560,3520,18,5,16.9,9.4
2,21,21.4,71.3,875,16800,6940,6910,21,7,17.7,5.8
2,22,20.7,74.9,1257,15600,6170,6150,25,9,18.3,6.3
2,23,25.9,70.2,1401,15100,9010,8950,28,12,21.2,10.2
2,24,30.9,65.9,2249,15150,7230,7160,33,17,21.9,10.4
2,25,28.7,65.3,2149,15050,5730,5680,41,22,22.8,11.7
2,26,27.9,67.8,2108,15600,6250,6180,53,34,22.6,12.8
2,27,28.4,65,2126,17500,5890,5820,49,20,19.6,11.9
2,28,28.5,67.9,2224,15150,7300,6890,39,19,20.8,9.3
2,29,27,68.8,2106,15150,6570,5750,41,24,22,10.3
2,30,28.6,67.5,1959,15550,9310,9200,49,29,21.6,11.2
2,31,32.3,65.3,2355,15200,6600,6560,50,29,22.9,9.2
3,01,32.7,62.4,2490,17100,15199,7647,26,10,23.6,14.2
3,02,32.3,60.7,2789,15500,19981,9981,20,9,24.8,12.4
3,03,32.1,60.3,2735,12900,17165,9077,22,11,21.5,13.9
3,04,33.7,60.4,2459,14900,25333,15351,22,11,23.8,12.8
3,05,32.8,58.5,2635,15700,18776,13645,31,9,20.1,12.9
3,06,31.5,60.1,3187,15150,16987,11251,28,10,21,11.6
3,07,31.7,59.3,2776,13250,22321,13878,35,16,21.8,12.2
3,08,32.1,61.5,2427,14100,25835,13127,22,11,22.1,14.9
3,09,31.5,64.6,2441,12900,18580,9604,21,9,22.8,14.4
3,10,32.2,61.4,2493,12950,19254,12891,28,15,21.8,14
3,11,31.9,61.5,2893,14150,19663,12740,29,14,24.1,12.9
3,12,31.5,61.8,2728,14400,20077,12416,31,13,25.7,11.9
3,13,32,62.9,2229,13550,16909,12800,35,16,22.8,13.9
3,14,31.8,64.5,3090,11650,15317,11326,30,16,21.8,12.5
3,15,31.1,64.6,3040,12150,13346,9920,30,16,21.9,11.4
3,16,31.8,63.6,3117,13650,12177,10578,37,14,20.5,10.8
3,17,31.6,63.9,3403,14000,8860,10694,31,10,20.9,7.8
3,18,30.8,65.3,2842,13450,14358,11260,34,14,24.1,9
3,19,30.8,66.8,2041,11550,17462,9031,28,14,22.9,12.9
3,20,30.9,64.8,2539,14100,13599,10905,18,5,16.9,9.4
3,21,29.6,65.5,3423,12250,7160,5718,21,7,17.7,5.8
3,22,29.6,65.5,2911,13150,12592,9848,25,9,18.3,6.3
3,23,31.3,64.7,2761,13550,19774,14128,28,12,21.2,10.2
3,24,30.8,62.9,2643,13550,16829,12349,33,17,21.9,10.4
3,25,30.8,64.4,2015,13400,15512,10885,41,22,22.8,11.7
3,26,30.4,65.8,2393,13900,16532,11681,53,34,22.6,12.8
3,27,30.7,67,2487,14700,17163,13084,49,20,19.6,11.9
3,28,29.7,66.3,2838,12350,15835,12699,39,19,20.8,9.3
3,29,29.9,67.7,2494,12550,13347,10737,41,24,22,10.3
3,30,31.7,65.4,2033,12400,18933,14707,49,29,21.6,11.2
3,31,32.8,63,2603,12850,15572,12934,50,29,22.9,9.2
4,01,31.9,60.9,1057,14400,12843,26770,26,10,23.6,14.2
4,02,31.6,57.3,1399,12600,14481,60120,20,9,24.8,12.4
4,03,31.4,57,1186,11650,13582,46100,22,11,21.5,13.9
4,04,32.6,57.7,811,13050,15234,88410,22,11,23.8,12.8
4,05,31.3,59.9,845,12400,11920,80910,31,9,20.1,12.9
4,06,30.7,57.2,973,12250,10430,51490,28,10,21,11.6
4,07,31.2,56.2,856,13550,7427,94390,35,16,21.8,12.2
4,08,31.4,59.9,917,11900,12248,121310,22,11,22.1,14.9
4,09,30.3,61,769,11400,14052,75380,21,9,22.8,14.4
4,10,30.3,59.6,793,10800,13454,93940,28,15,21.8,14
4,11,30.1,63.2,1030,11250,10927,110940,29,14,24.1,12.9
4,12,28.4,59.7,976,11450,10203,80340,31,13,25.7,11.9
4,13,29.5,61.4,646,11300,8938,72860,35,16,22.8,13.9
4,14,27.8,62.8,769,12950,8669,60360,30,16,21.8,12.5
4,15,26.7,60.7,908,11100,8458,50520,30,16,21.9,11.4
4,16,29.1,61,985,11000,7147,53040,37,14,20.5,10.8
4,17,29.7,61.4,855,11300,9125,67270,31,10,20.9,7.8
4,18,27.9,65.1,810,11000,11070,63160,34,14,24.1,9
4,19,27.9,66.6,750,11000,11707,40550,28,14,22.9,12.9
4,20,28.5,64.6,800,11800,7236,31560,18,5,16.9,9.4
4,21,28.6,63.8,1330,11100,2533,29960,21,7,17.7,5.8
4,22,27,66.2,1214,11250,4416,44900,25,9,18.3,6.3
4,23,28.9,63.6,843,11250,4584,54270,28,12,21.2,10.2
4,24,27.6,62.7,830,11350,6264,54900,33,17,21.9,10.4
4,25,26,64.9,901,11750,7275,44070,41,22,22.8,11.7
4,26,25.1,66.7,1223,12450,6438,32760,53,34,22.6,12.8
4,27,25.7,66.6,861,12700,4622,39010,49,20,19.6,11.9
4,28,25.2,68.2,1320,11400,2940,38280,39,19,20.8,9.3
4,29,25.4,70.2,1093,11500,2585,28320,41,24,22,10.3
4,30,27.1,68.2,1106,11600,1480,26340,49,29,21.6,11.2
4,31,30.1,67.5,1336,11800,506,28590,50,29,22.9,9.2
