hiveid,recordday,temp,humidity,co2,weight,incount,outcount,pm10,pm25,extemphigh,extemplow
1,01,35.39,82.62,805.58,25100,67373,139549,14,5,33.2,24.2
1,02,35.32,82.49,760.57,25550,72354,136499,26,17,34.1,23.4
1,03,35.32,82.74,850.46,24800,76658,136779,27,18,33.5,24.5
1,04,35.2,83.06,777.32,24850,70647,135589,23,13,32.1,24
1,05,35.18,84.23,899.56,25250,77334,141126,34,23,30.7,24.5
1,06,35.26,84.56,661.53,26000,61022,127028,19,10,34.7,25.4
1,07,35.24,83.73,593.39,24850,50640,115450,14,5,34.3,27.2
1,08,35.1,84.25,725.4,25450,42292,116350,23,14,30.6,24.3
1,09,34.66,82.23,850.17,24950,61827,118140,31,23,31,23.5
1,10,35,83.95,872.93,25050,59438,120480,37,28,34.2,24.3
1,11,34.91,83.59,1015.3,24700,41511,106560,22,14,30.9,24.1
1,12,35.11,84.42,818.15,25250,40073,117660,26,15,30.7,25.2
1,13,34.56,81.46,958.27,24600,35706,100390,22,14,27.3,24.7
1,14,34.75,81.64,1001.7,24750,32851,100690,22,11,28.3,23.8
1,15,32.93,76.61,968.93,24850,36164,114140,22,12,30.5,22.1
1,16,34.44,79.15,1116.3,24350,37754,109800,26,15,30.6,22.9
1,17,34.44,78.47,1054.53,24300,35352,96230,26,13,29.7,23.4
1,18,33.98,78.48,1780.5,22700,17955,63500,14,10,26.5,21.4
1,19,34.28,79.83,1371.49,23950,32817,103250,23,13,29.5,21.7
1,20,34.68,80.31,1145.56,24650,33410,83400,28,16,32.1,22.8
1,21,34.31,79.19,1310.36,23500,15764,55980,22,11,27.2,22.9
1,22,34.18,78.84,1266.38,24450,23540,58390,23,11,29,22.8
1,23,34.09,78.98,1374.02,24550,33145,184530,24,14,28.7,21.2
1,24,34.21,79.04,1479.82,23550,16941,78050,15,9,26.6,22.8
1,25,34.49,79.86,1129.02,25250,27924,106620,20,9,30.6,23.3
1,26,34.63,79.7,859.86,24900,24476,87979,27,16,32.4,22.7
1,27,34.72,78.55,646.4,25900,20619,80857,25,17,33.2,24.1
