hiveid,recordday,temp,humidity,co2,weight,incount,outcount,pm10,pm25,extemphigh,extemplow
1,01,34.4,68.91,2578,11500,15873,98217,28,13,25,18.5
1,02,35.16,68.33,2916,11450,14606,100314,41,21,26,18.1
1,03,35.02,67.01,2627,11500,11461,110757,43,20,28,16.5
1,04,34.97,65.26,2521,11500,30042,122016,32,13,27,15.6
1,05,34.82,63.93,2528,11500,18168,122595,33,17,25.6,17.7
1,06,34.84,64.42,2552,11500,22895,140205,29,13,27.3,16.1
1,07,34.81,65.67,2491,11500,22049,145332,28,12,28.3,15.8
1,08,34.59,66.93,2383,11450,19616,149784,26,10,29.2,18.6
1,09,34.58,67.2,2277,11450,21141,165716,36,18,30.2,19.2
1,10,34.59,66.37,1951,11450,32172,163362,31,14,31.8,18.6
1,11,34.5,67.89,1824,11500,36460,158920,29,14,28.4,18.4
1,12,34.65,68.56,1886,11450,40899,161070,42,22,29.4,20
1,13,34.57,70.16,2060,11450,39969,177290,29,13,28.5,18.6
1,14,34.48,71.26,2148,11500,40135,152340,36,20,27.6,17.6
1,15,34.23,71.75,2061,11450,38416,165670,36,19,28,16.8
1,16,34.54,73.82,2095,11450,38202,186290,41,23,30.7,17.4
1,17,34.65,73.89,2001,11500,31252,163860,36,20,30.9,19.1
1,18,34.6,75.59,2154,11450,35639,197600,30,14,31.1,19.8
1,19,34.43,75.72,1992,11450,29980,173490,42,21,35.4,18.3
1,20,34.53,74.29,1969,11450,30069,186720,37,19,30.5,21.3
1,21,34.45,75.42,2056,11550,29237,145240,20,10,24.2,20
1,22,34.29,77.03,2946,11500,41069,202350,27,13,26.9,19.7
1,23,0,0,2007,11500,23269,209170,33,18,31.4,20.4
1,24,0,0,2023,11500,26960,199200,41,23,32.1,21.8
1,25,0,0,2221,11450,34446,192300,26,14,31.9,21.2
1,26,0,0,2120,11500,30101,126350,13,4,27.4,21.4
1,27,0,0,1800,11450,25007,164920,24,12,31,22.2
1,28,0,0,2076,11500,18985,135800,17,7,28.4,19.7
1,29,0,0,1987,11550,22546,116640,24,11,26.9,23.9
1,30,0,0,2027,11550,22899,136300,16,6,26.8,23.1
2,01,34.72,73.87,2020,16150,142544,103488,28,13,25,18.5
2,02,34.66,74.37,2099,16550,140167,104591,41,21,26,18.1
2,03,34.51,74.24,1916,18150,153922,111357,43,20,28,16.5
2,04,34.55,71.98,2097,17350,134587,104228,32,13,27,15.6
2,05,34.49,71.54,2094,16500,137756,107338,33,17,25.6,17.7
2,06,34.41,70.54,1697,16900,138256,117020,29,13,27.3,16.1
2,07,34.47,70.22,1981,18150,138038,119003,28,12,28.3,15.8
2,08,34.76,69.17,2041,17700,147880,135712,26,10,29.2,18.6
2,09,34.91,69.15,1860,20700,156220,144245,36,18,30.2,19.2
2,10,34.99,68.28,1823,17400,146460,133243,31,14,31.8,18.6
2,11,35,68.98,1756,20200,157220,139635,29,14,28.4,18.4
2,12,35.22,68.05,1771,20500,150180,139220,42,22,29.4,20
2,13,35.15,62.79,2016,19600,141900,133850,29,13,28.5,18.6
2,14,34.72,62.77,2134,19950,154330,131280,36,20,27.6,17.6
2,15,34.6,62.49,2049,20100,147100,134850,36,19,28,16.8
2,16,34.62,63.36,2054,20400,168440,147270,41,23,30.7,17.4
2,17,34.74,62.21,1895,20200,144790,132250,36,20,30.9,19.1
2,18,34.85,62.89,1983,21000,154680,145540,30,14,31.1,19.8
2,19,34.88,62.92,1923,20000,154110,148610,42,21,35.4,18.3
2,20,35.1,60.86,1739,19700,150750,143960,37,19,30.5,21.3
2,21,35.09,62.27,1724,18250,127990,114370,20,10,24.2,20
2,22,35.06,64.57,2115,20400,163660,149570,27,13,26.9,19.7
2,23,35.36,65.95,1597,21200,173070,157950,33,18,31.4,20.4
2,24,35.35,65.53,1700,21050,167320,156190,41,23,32.1,21.8
2,25,35.22,65.36,1690,19700,167210,160370,26,14,31.9,21.2
2,26,35.2,67.29,1597,20300,138500,134520,13,4,27.4,21.4
2,27,35.23,68.81,1330,20450,152480,147350,24,12,31,22.2
2,28,34.89,68.83,1577,20700,139380,138890,17,7,28.4,19.7
2,29,35.07,69.73,1302,19800,128210,124820,24,11,26.9,23.9
2,30,35.01,70.91,1230,20550,135650,130010,16,6,26.8,23.1
3,01,33.84,66.25,1954,2950,26138,20982,28,13,25,18.5
3,02,33.81,66.1,1820,3050,27072,19770,41,21,26,18.1
3,03,33.58,65.48,1959,3250,25185,19480,43,20,28,16.5
3,04,33.36,63.89,2238,2950,23459,18978,32,13,27,15.6
3,05,33.46,63.5,2518,2850,22744,18963,33,17,25.6,17.7
3,06,33.41,62.56,2248,2750,22448,19294,29,13,27.3,16.1
3,07,33.27,62.44,2321,2600,22359,19650,28,12,28.3,15.8
3,08,33.48,62.78,1967,2900,23270,19604,26,10,29.2,18.6
3,09,33.72,62.92,1943,2850,23605,19404,36,18,30.2,19.2
3,10,32.09,58.95,1460,14650,22726,18022,31,14,31.8,18.6
3,11,32.96,62.56,2523,15400,23654,18045,29,14,28.4,18.4
3,12,33.75,64.02,2048,16200,21971,20517,42,22,29.4,20
3,13,33.83,63.95,2056,15600,23135,19934,29,13,28.5,18.6
3,14,33.6,64.37,2489,15500,22049,18948,36,20,27.6,17.6
3,15,33.27,64.7,2670,16050,22107,19215,36,19,28,16.8
3,16,33.37,65.09,2506,16200,24014,20543,41,23,30.7,17.4
3,17,33.29,65.01,2374,15500,23539,20707,36,20,30.9,19.1
3,18,33.29,65.32,2634,16250,24927,22736,30,14,31.1,19.8
3,19,33.27,65.39,2631,14650,24355,22303,42,21,35.4,18.3
3,20,33.26,66.27,2370,14100,23657,21923,37,19,30.5,21.3
3,21,33.12,67.03,3411,12300,22054,20439,20,10,24.2,20
3,22,32.94,66.33,3722,14350,22202,20148,27,13,26.9,19.7
3,23,33.12,67.87,2732,16000,22246,20153,33,18,31.4,20.4
3,24,33.37,68.64,2197,15550,22830,20422,41,23,32.1,21.8
3,25,33.15,68.4,2489,14050,21618,19062,26,14,31.9,21.2
3,26,33.07,69.7,3327,13800,18739,17020,13,4,27.4,21.4
3,27,33.45,69.65,2025,14550,18296,16047,24,12,31,22.2
3,28,32.61,69.8,3720,14750,17737,15847,17,7,28.4,19.7
3,29,32.95,71.23,3283,12900,17121,14929,24,11,26.9,23.9
3,30,32.93,72.16,2956,13700,19144,17179,16,6,26.8,23.1
4,01,34.23,64.98,1386,12050,6879,142387,28,13,25,18.5
4,02,34.23,65.32,1055,11950,6487,145665,41,21,26,18.1
4,03,33.9,65.49,1296,13100,6807,129411,43,20,28,16.5
4,04,33.74,64.21,1505,12250,4837,123415,32,13,27,15.6
4,05,33.82,64.22,1873,11650,5181,132850,33,17,25.6,17.7
4,06,33.62,64.45,1365,11250,5776,131740,29,13,27.3,16.1
4,07,33.4,64.66,1491,10050,7190,152520,28,12,28.3,15.8
4,08,34.01,64.86,1549,10200,6953,149990,26,10,29.2,18.6
4,09,34.1,65.57,1200,10000,6237,153170,36,18,30.2,19.2
4,10,34.24,65.74,1110,8850,8423,163850,31,14,31.8,18.6
4,11,33.95,67.08,1226,12100,6595,160430,29,14,28.4,18.4
4,12,34.08,66.91,1216,10100,7892,163370,42,22,29.4,20
4,13,34.24,66.55,1051,9600,7629,155460,29,13,28.5,18.6
4,14,33.97,65.93,1168,10050,6281,143640,36,20,27.6,17.6
4,15,33.84,65.7,1575,12250,6461,140600,36,19,28,16.8
4,16,34.06,65.49,1223,12550,9308,158060,41,23,30.7,17.4
4,17,34.1,64.87,1019,12400,9307,157560,36,20,30.9,19.1
4,18,34.13,65.24,1120,12350,10148,168240,30,14,31.1,19.8
4,19,34.09,64.82,1038,11550,12709,179540,42,21,35.4,18.3
4,20,34.05,63.88,1125,11350,10790,178850,37,19,30.5,21.3
4,21,33.92,64.61,1112,11350,11298,173200,20,10,24.2,20
4,22,33.64,65.66,1031,10350,10148,186440,27,13,26.9,19.7
4,23,34.03,66.86,915,10850,13503,194790,33,18,31.4,20.4
4,24,34.31,67.46,905,13100,19648,208090,41,23,32.1,21.8
